   "t"	"air_fuel_ratio"	"speed"	"map"	"ego"	"throttle"	"fuel"
   5.9500000000000002e+00	   1.2361317132444885e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999998332679607e-01	   1.9750000000000000e+01	   1.9975080490112305e+00
   5.9600000000000000e+00	   1.2343895273874137e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999998549594871e-01	   1.9800000000000001e+01	   1.9988799095153809e+00
   5.9699999999999998e+00	   1.2327014294939683e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999998732818574e-01	   1.9849999999999998e+01	   2.0002498626708984e+00
   5.9800000000000004e+00	   1.2310655379268695e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999998888262875e-01	   1.9900000000000002e+01	   2.0016181468963623e+00
   5.9900000000000002e+00	   1.2294800275121915e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999020699826e-01	   1.9950000000000003e+01	   2.0029845237731934e+00
   6.0000000000000000e+00	   1.2279431360808465e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999133998274e-01	   2.0000000000000000e+01	   2.0043492317199707e+00
   6.0099999999999998e+00	   1.2264497467399336e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999231519066e-01	   1.9950000000000003e+01	   2.0057117938995361e+00
   6.0200000000000005e+00	   1.2249841392323713e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999316540666e-01	   1.9899999999999999e+01	   2.0063474178314209e+00
   6.0300000000000002e+00	   1.2235463615639866e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999390801020e-01	   1.9849999999999998e+01	   2.0064480304718018e+00
   6.0400000000000000e+00	   1.2221374550507178e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999455737087e-01	   1.9800000000000001e+01	   2.0061554908752441e+00
   6.0499999999999998e+00	   1.2207586542553548e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999512578941e-01	   1.9750000000000000e+01	   2.0055742263793945e+00
   6.0600000000000005e+00	   1.2194110133671121e+01	   3.0000000000000000e+02	   0.0000000000000000e+00	   9.9999999562394826e-01	   1.9699999999999996e+01	   2.0047807693481445e+00
